freq,psd_x,psd_y,psd_z,psd_xyz,zv(21.0),mzv(24.8),ei(29.0),2hump_ei(39.0),3hump_ei(48.0)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.2,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.988,0.986,0.984,0.982,0.981
2.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.967,0.964,0.958,0.957,0.954
3.7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.939,0.935,0.925,0.923,0.919
5.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.902,0.899,0.884,0.883,0.878
6.2,2.471e+03,1.788e+01,1.324e+01,2.502e+03,0.859,0.857,0.836,0.837,0.831
7.5,2.527e+03,1.709e+01,1.297e+01,2.557e+03,0.809,0.809,0.782,0.785,0.778
8.7,3.202e+03,2.089e+01,1.317e+01,3.236e+03,0.752,0.756,0.723,0.729,0.722
10.0,3.128e+03,1.440e+01,9.471e+00,3.151e+03,0.690,0.699,0.660,0.670,0.662
11.2,3.023e+03,6.958e+00,1.157e+01,3.041e+03,0.623,0.638,0.595,0.609,0.601
12.5,3.260e+03,6.237e+00,1.539e+01,3.282e+03,0.551,0.575,0.528,0.546,0.538
13.7,3.272e+03,6.463e+00,1.261e+01,3.291e+03,0.476,0.511,0.460,0.483,0.476
15.0,2.866e+03,6.853e+00,9.481e+00,2.882e+03,0.398,0.446,0.393,0.421,0.415
16.2,2.286e+03,5.003e+00,8.586e+00,2.299e+03,0.318,0.381,0.328,0.361,0.356
17.5,3.903e+03,7.847e+00,1.139e+01,3.922e+03,0.236,0.316,0.266,0.303,0.300
18.7,4.246e+03,1.016e+01,9.827e+00,4.266e+03,0.154,0.254,0.208,0.248,0.247
20.0,5.233e+03,1.161e+01,1.051e+01,5.255e+03,0.086,0.195,0.155,0.198,0.199
21.2,4.214e+03,7.852e+00,9.839e+00,4.232e+03,0.064,0.139,0.108,0.153,0.156
22.5,4.745e+03,6.459e+00,1.090e+01,4.763e+03,0.106,0.087,0.067,0.113,0.118
23.7,2.370e+03,4.049e+00,8.073e+00,2.382e+03,0.180,0.048,0.036,0.079,0.086
25.0,5.468e+02,2.266e+00,4.694e+00,5.537e+02,0.256,0.035,0.020,0.051,0.062
26.2,3.767e+02,2.144e+00,3.983e+00,3.829e+02,0.328,0.049,0.027,0.033,0.045
27.5,4.153e+02,2.665e+00,3.495e+00,4.215e+02,0.398,0.076,0.036,0.027,0.038
28.7,3.646e+02,3.559e+00,2.757e+00,3.710e+02,0.462,0.100,0.040,0.031,0.037
30.0,2.257e+02,4.061e+00,3.847e+00,2.336e+02,0.522,0.117,0.037,0.036,0.039
31.2,2.787e+02,5.621e+00,4.464e+00,2.888e+02,0.577,0.129,0.030,0.038,0.040
32.5,3.097e+02,1.084e+01,3.254e+00,3.238e+02,0.626,0.133,0.028,0.038,0.039
33.7,4.435e+02,2.048e+01,4.015e+00,4.680e+02,0.668,0.131,0.033,0.035,0.036
35.0,2.477e+02,7.280e+00,4.140e+00,2.591e+02,0.705,0.123,0.048,0.029,0.032
36.2,1.845e+02,3.720e+00,4.221e+00,1.925e+02,0.734,0.110,0.077,0.022,0.026
37.5,1.932e+02,3.277e+00,4.173e+00,2.006e+02,0.757,0.095,0.115,0.014,0.020
38.7,2.335e+02,4.395e+00,3.822e+00,2.417e+02,0.773,0.087,0.156,0.011,0.014
40.0,5.014e+02,5.454e+00,3.740e+00,5.106e+02,0.782,0.081,0.200,0.012,0.012
41.2,4.100e+02,3.819e+00,3.480e+00,4.173e+02,0.784,0.082,0.245,0.017,0.014
42.5,2.076e+02,1.963e+00,2.808e+00,2.124e+02,0.779,0.091,0.291,0.024,0.018
43.7,2.180e+02,1.887e+00,2.869e+00,2.228e+02,0.768,0.108,0.336,0.029,0.023
45.0,3.825e+02,3.325e+00,3.453e+00,3.893e+02,0.750,0.131,0.381,0.032,0.027
46.2,5.692e+02,4.026e+00,3.729e+00,5.769e+02,0.726,0.169,0.423,0.031,0.029
47.5,5.914e+02,2.520e+00,3.683e+00,5.976e+02,0.696,0.215,0.463,0.028,0.030
48.7,4.133e+02,2.554e+00,3.282e+00,4.192e+02,0.661,0.261,0.499,0.027,0.029
50.0,6.285e+02,4.383e+00,5.270e+00,6.381e+02,0.620,0.307,0.532,0.027,0.027
51.2,1.146e+03,7.718e+00,8.327e+00,1.162e+03,0.575,0.352,0.559,0.030,0.023
52.5,1.252e+03,1.114e+01,1.103e+01,1.275e+03,0.526,0.395,0.581,0.036,0.018
53.7,1.091e+03,1.865e+01,1.062e+01,1.120e+03,0.474,0.436,0.598,0.045,0.014
55.0,1.236e+03,2.234e+01,1.219e+01,1.270e+03,0.419,0.474,0.609,0.066,0.012
56.2,9.819e+02,1.820e+01,9.218e+00,1.009e+03,0.372,0.508,0.614,0.092,0.012
57.5,7.192e+02,1.308e+01,6.444e+00,7.387e+02,0.344,0.539,0.613,0.121,0.013
58.7,1.034e+03,2.753e+01,1.260e+01,1.074e+03,0.319,0.565,0.606,0.152,0.015
60.0,1.500e+03,3.399e+01,1.442e+01,1.548e+03,0.300,0.587,0.594,0.185,0.019
61.2,9.461e+02,1.633e+01,8.541e+00,9.710e+02,0.288,0.604,0.576,0.218,0.023
62.5,9.562e+02,1.779e+01,1.037e+01,9.844e+02,0.282,0.617,0.554,0.251,0.025
63.7,9.161e+02,1.241e+01,6.837e+00,9.353e+02,0.284,0.624,0.527,0.284,0.025
65.0,6.213e+02,6.660e+00,5.934e+00,6.339e+02,0.293,0.626,0.496,0.316,0.023
66.2,6.223e+02,7.259e+00,8.218e+00,6.378e+02,0.307,0.622,0.461,0.347,0.024
67.5,6.660e+02,8.728e+00,8.003e+00,6.828e+02,0.326,0.614,0.424,0.375,0.025
68.7,4.104e+02,4.365e+00,4.662e+00,4.194e+02,0.346,0.601,0.386,0.401,0.028
70.0,2.978e+02,3.008e+00,3.853e+00,3.046e+02,0.373,0.584,0.346,0.423,0.031
71.2,2.195e+02,3.189e+00,4.934e+00,2.276e+02,0.420,0.562,0.305,0.442,0.037
72.4,1.621e+02,2.895e+00,6.853e+00,1.718e+02,0.463,0.537,0.265,0.458,0.044
73.7,1.322e+02,2.355e+00,7.526e+00,1.421e+02,0.503,0.508,0.225,0.469,0.064
74.9,1.214e+02,2.208e+00,8.676e+00,1.323e+02,0.538,0.476,0.188,0.476,0.086
76.2,9.495e+01,1.474e+00,6.297e+00,1.027e+02,0.569,0.442,0.160,0.479,0.109
77.4,6.804e+01,1.518e+00,4.977e+00,7.453e+01,0.595,0.406,0.144,0.477,0.134
78.7,5.758e+01,1.587e+00,5.616e+00,6.478e+01,0.616,0.368,0.130,0.472,0.159
79.9,5.392e+01,8.894e-01,4.567e+00,5.937e+01,0.631,0.330,0.119,0.462,0.185
81.2,5.073e+01,8.446e-01,4.043e+00,5.561e+01,0.642,0.292,0.110,0.448,0.211
82.4,3.431e+01,1.253e+00,3.926e+00,3.949e+01,0.647,0.255,0.103,0.431,0.236
83.7,2.204e+01,1.179e+00,3.520e+00,2.674e+01,0.647,0.223,0.099,0.411,0.260
84.9,2.278e+01,1.063e+00,3.630e+00,2.748e+01,0.642,0.208,0.096,0.388,0.283
86.2,2.059e+01,1.009e+00,3.551e+00,2.515e+01,0.631,0.194,0.095,0.362,0.304
87.4,2.024e+01,1.049e+00,2.673e+00,2.396e+01,0.617,0.183,0.096,0.335,0.322
88.7,1.964e+01,8.825e-01,1.946e+00,2.247e+01,0.597,0.173,0.098,0.307,0.338
89.9,1.909e+01,9.097e-01,1.928e+00,2.192e+01,0.574,0.165,0.101,0.277,0.351
91.2,2.148e+01,1.047e+00,2.685e+00,2.521e+01,0.547,0.159,0.106,0.248,0.361
92.4,1.789e+01,1.273e+00,2.970e+00,2.213e+01,0.516,0.155,0.113,0.218,0.368
93.7,1.867e+01,1.710e+00,2.631e+00,2.301e+01,0.483,0.152,0.120,0.189,0.371
94.9,1.611e+01,1.351e+00,2.163e+00,1.963e+01,0.448,0.151,0.129,0.162,0.371
96.2,1.161e+01,1.292e+00,1.450e+00,1.435e+01,0.416,0.150,0.139,0.136,0.368
97.4,1.189e+01,1.775e+00,1.841e+00,1.551e+01,0.404,0.150,0.150,0.112,0.361
98.7,1.528e+01,1.812e+00,2.029e+00,1.912e+01,0.394,0.150,0.176,0.094,0.351
99.9,1.193e+01,1.711e+00,1.842e+00,1.548e+01,0.385,0.151,0.204,0.085,0.339
101.2,1.084e+01,1.090e+00,1.512e+00,1.344e+01,0.377,0.152,0.233,0.078,0.324
102.4,1.105e+01,9.387e-01,1.713e+00,1.370e+01,0.372,0.154,0.261,0.071,0.306
103.7,8.823e+00,9.834e-01,1.275e+00,1.108e+01,0.369,0.156,0.288,0.066,0.287
104.9,9.164e+00,7.714e-01,1.036e+00,1.097e+01,0.368,0.160,0.314,0.062,0.266
106.2,8.593e+00,6.245e-01,1.112e+00,1.033e+01,0.369,0.164,0.338,0.058,0.244
107.4,8.116e+00,6.475e-01,1.146e+00,9.910e+00,0.372,0.169,0.359,0.055,0.221
108.7,1.045e+01,9.784e-01,1.382e+00,1.281e+01,0.377,0.175,0.378,0.053,0.198
109.9,1.031e+01,9.828e-01,1.292e+00,1.259e+01,0.384,0.182,0.393,0.051,0.176
111.2,8.674e+00,7.903e-01,1.162e+00,1.063e+01,0.391,0.189,0.406,0.049,0.153
112.4,8.732e+00,8.659e-01,1.135e+00,1.073e+01,0.399,0.198,0.414,0.048,0.132
113.7,8.667e+00,1.005e+00,1.005e+00,1.068e+01,0.415,0.207,0.419,0.047,0.112
114.9,7.616e+00,8.907e-01,8.642e-01,9.371e+00,0.443,0.226,0.420,0.047,0.093
116.2,7.245e+00,8.555e-01,1.126e+00,9.227e+00,0.469,0.252,0.418,0.047,0.076
117.4,8.372e+00,9.676e-01,1.288e+00,1.063e+01,0.493,0.278,0.412,0.047,0.064
118.7,7.557e+00,1.509e+00,1.354e+00,1.042e+01,0.513,0.304,0.403,0.048,0.059
119.9,8.800e+00,1.775e+00,1.809e+00,1.239e+01,0.531,0.328,0.391,0.049,0.054
121.2,8.706e+00,1.305e+00,1.403e+00,1.141e+01,0.544,0.351,0.375,0.050,0.050
122.4,7.080e+00,1.493e+00,1.241e+00,9.814e+00,0.554,0.371,0.358,0.051,0.047
123.7,7.174e+00,1.271e+00,1.307e+00,9.752e+00,0.560,0.390,0.338,0.053,0.044
124.9,6.920e+00,9.158e-01,1.295e+00,9.131e+00,0.562,0.406,0.316,0.055,0.041
126.2,6.040e+00,7.698e-01,1.212e+00,8.022e+00,0.561,0.419,0.293,0.058,0.039
127.4,6.266e+00,1.082e+00,1.217e+00,8.565e+00,0.556,0.429,0.269,0.061,0.037
128.7,7.102e+00,1.311e+00,1.170e+00,9.583e+00,0.547,0.436,0.245,0.064,0.036
129.9,6.831e+00,1.288e+00,1.098e+00,9.217e+00,0.536,0.441,0.221,0.068,0.034
131.2,5.570e+00,1.222e+00,8.800e-01,7.673e+00,0.521,0.442,0.198,0.072,0.033
132.4,5.780e+00,1.107e+00,8.703e-01,7.757e+00,0.504,0.440,0.183,0.076,0.032
133.7,6.802e+00,1.294e+00,1.036e+00,9.132e+00,0.484,0.435,0.176,0.081,0.031
134.9,6.393e+00,1.449e+00,9.483e-01,8.790e+00,0.463,0.427,0.170,0.088,0.031
136.2,7.669e+00,3.092e+00,8.158e-01,1.158e+01,0.441,0.417,0.164,0.103,0.030
