freq,psd_x,psd_y,psd_z,psd_xyz,zv(51.2),mzv(31.0),ei(42.6),2hump_ei(39.2),3hump_ei(48.0)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.2,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.989,0.990,0.982,0.981
2.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.991,0.974,0.976,0.957,0.954
3.7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.984,0.953,0.957,0.924,0.919
5.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.975,0.928,0.935,0.884,0.878
6.2,3.398e+02,7.553e+02,9.725e+01,1.192e+03,0.966,0.899,0.909,0.839,0.831
7.5,2.247e+02,8.668e+02,8.248e+01,1.174e+03,0.955,0.866,0.880,0.788,0.779
8.7,1.805e+02,9.157e+02,7.216e+01,1.168e+03,0.943,0.829,0.848,0.732,0.723
10.0,1.754e+02,1.206e+03,7.074e+01,1.452e+03,0.929,0.789,0.813,0.674,0.663
11.2,1.461e+02,1.398e+03,7.388e+01,1.618e+03,0.915,0.746,0.775,0.613,0.602
12.5,1.099e+02,1.226e+03,6.027e+01,1.396e+03,0.899,0.700,0.735,0.550,0.540
13.7,1.006e+02,1.037e+03,5.985e+01,1.197e+03,0.881,0.652,0.694,0.488,0.478
15.0,9.950e+01,1.198e+03,5.983e+01,1.357e+03,0.863,0.602,0.650,0.426,0.417
16.2,9.045e+01,1.371e+03,5.351e+01,1.515e+03,0.843,0.551,0.606,0.366,0.357
17.5,9.039e+01,1.920e+03,6.731e+01,2.077e+03,0.823,0.499,0.560,0.308,0.301
18.7,8.457e+01,2.448e+03,8.656e+01,2.619e+03,0.801,0.447,0.515,0.254,0.249
19.9,9.336e+01,2.947e+03,1.138e+02,3.154e+03,0.778,0.395,0.469,0.204,0.200
21.2,1.054e+02,4.116e+03,1.586e+02,4.380e+03,0.755,0.344,0.423,0.158,0.157
22.4,1.507e+02,8.387e+03,3.047e+02,8.842e+03,0.730,0.293,0.378,0.117,0.119
23.7,1.443e+02,6.671e+03,2.527e+02,7.068e+03,0.704,0.244,0.334,0.083,0.087
24.9,1.543e+02,7.365e+03,2.943e+02,7.813e+03,0.678,0.196,0.292,0.055,0.063
26.2,2.049e+02,9.388e+03,4.397e+02,1.003e+04,0.651,0.151,0.250,0.035,0.046
27.4,2.415e+02,9.138e+03,5.977e+02,9.978e+03,0.623,0.109,0.211,0.028,0.038
28.7,2.399e+02,8.213e+03,6.144e+02,9.068e+03,0.594,0.070,0.174,0.030,0.037
29.9,2.417e+02,6.847e+03,5.387e+02,7.627e+03,0.564,0.044,0.140,0.035,0.039
31.2,3.616e+02,7.692e+03,6.547e+02,8.708e+03,0.534,0.034,0.109,0.038,0.040
32.4,3.794e+02,7.951e+03,7.078e+02,9.038e+03,0.503,0.044,0.080,0.038,0.039
33.7,2.533e+02,6.701e+03,6.769e+02,7.631e+03,0.472,0.064,0.055,0.035,0.037
34.9,2.171e+02,6.548e+03,7.033e+02,7.469e+03,0.440,0.085,0.035,0.030,0.032
36.2,1.894e+02,5.138e+03,5.679e+02,5.895e+03,0.408,0.103,0.022,0.023,0.026
37.4,1.999e+02,5.244e+03,5.769e+02,6.020e+03,0.376,0.117,0.021,0.015,0.020
38.6,2.029e+02,5.120e+03,5.791e+02,5.902e+03,0.343,0.126,0.027,0.011,0.014
39.9,2.093e+02,4.235e+03,5.139e+02,4.958e+03,0.310,0.132,0.034,0.011,0.012
