freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.138e+02,7.568e+00,1.643e+01,7.378e+02
1.3,3.101e+03,3.646e+01,8.211e+01,3.220e+03
2.5,3.203e+03,4.612e+01,8.438e+01,3.334e+03
3.8,4.060e+03,5.819e+01,7.699e+01,4.195e+03
5.0,8.188e+03,6.870e+01,1.023e+02,8.359e+03
6.3,1.810e+04,9.645e+01,9.019e+01,1.829e+04
7.5,2.580e+04,1.416e+02,1.300e+02,2.608e+04
8.8,3.981e+04,2.061e+02,1.573e+02,4.017e+04
10.0,4.343e+04,1.415e+02,1.334e+02,4.370e+04
11.3,3.701e+04,9.513e+01,1.500e+02,3.726e+04
12.6,5.277e+04,1.118e+02,1.652e+02,5.305e+04
13.8,5.627e+04,1.183e+02,1.824e+02,5.657e+04
15.1,6.290e+04,1.287e+02,1.901e+02,6.322e+04
16.3,4.858e+04,1.086e+02,1.448e+02,4.883e+04
17.6,6.696e+04,1.506e+02,1.568e+02,6.726e+04
18.8,5.466e+04,1.547e+02,1.313e+02,5.495e+04
20.1,2.246e+04,8.179e+01,1.013e+02,2.264e+04
21.3,1.267e+04,6.254e+01,1.200e+02,1.286e+04
22.6,1.073e+04,4.794e+01,1.342e+02,1.091e+04
23.9,9.240e+03,4.775e+01,9.835e+01,9.386e+03
25.1,7.835e+03,4.224e+01,8.129e+01,7.958e+03
26.4,6.226e+03,4.684e+01,9.114e+01,6.364e+03
27.6,8.102e+03,4.739e+01,9.818e+01,8.247e+03
28.9,9.533e+03,6.604e+01,1.252e+02,9.724e+03
30.1,1.176e+04,1.613e+02,1.100e+02,1.203e+04
31.4,1.090e+04,2.283e+02,7.776e+01,1.120e+04
32.6,1.077e+04,2.134e+02,1.026e+02,1.108e+04
33.9,9.442e+03,1.509e+02,1.020e+02,9.695e+03
35.1,8.265e+03,1.679e+02,9.502e+01,8.528e+03
36.4,1.047e+04,2.172e+02,1.171e+02,1.080e+04
37.7,1.001e+04,1.312e+02,1.314e+02,1.027e+04
38.9,9.650e+03,7.952e+01,1.383e+02,9.868e+03
40.2,1.309e+04,8.697e+01,1.336e+02,1.331e+04
41.4,1.536e+04,1.056e+02,1.208e+02,1.558e+04
42.7,1.735e+04,1.498e+02,1.362e+02,1.764e+04
43.9,2.558e+04,2.259e+02,1.491e+02,2.595e+04
45.2,2.332e+04,2.939e+02,1.459e+02,2.376e+04
46.4,2.356e+04,2.375e+02,1.453e+02,2.394e+04
47.7,2.660e+04,2.118e+02,2.024e+02,2.702e+04
49.0,4.678e+04,2.881e+02,2.657e+02,4.734e+04
50.2,4.807e+04,2.913e+02,2.243e+02,4.858e+04
51.5,6.167e+04,2.633e+02,3.069e+02,6.224e+04
52.7,5.507e+04,3.082e+02,2.492e+02,5.563e+04
54.0,6.371e+04,4.856e+02,2.890e+02,6.448e+04
55.2,7.669e+04,5.807e+02,3.728e+02,7.764e+04
56.5,4.359e+04,2.458e+02,2.384e+02,4.407e+04
57.7,4.177e+04,2.061e+02,2.532e+02,4.223e+04
59.0,3.833e+04,2.156e+02,2.422e+02,3.879e+04
60.3,3.650e+04,2.383e+02,2.030e+02,3.694e+04
61.5,2.771e+04,1.907e+02,1.726e+02,2.808e+04
62.8,1.524e+04,1.004e+02,1.213e+02,1.546e+04
64.0,1.653e+04,1.406e+02,1.265e+02,1.679e+04
65.3,2.193e+04,1.957e+02,1.045e+02,2.223e+04
66.5,1.808e+04,1.568e+02,1.434e+02,1.838e+04
67.8,1.176e+04,1.356e+02,1.652e+02,1.206e+04
