freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.140e+02,2.275e+02,2.556e+01,3.670e+02
1.2,1.455e+03,9.494e+02,9.243e+01,2.497e+03
2.3,1.550e+03,2.849e+03,8.861e+01,4.487e+03
3.5,2.302e+03,1.245e+04,2.090e+02,1.496e+04
4.7,4.089e+03,3.660e+04,5.588e+02,4.125e+04
5.8,6.709e+03,3.859e+04,5.911e+02,4.589e+04
7.0,5.007e+03,2.540e+04,1.805e+02,3.058e+04
8.2,1.655e+03,8.489e+03,1.353e+02,1.028e+04
9.3,7.395e+02,3.263e+03,1.609e+02,4.164e+03
10.5,1.155e+03,1.805e+03,9.887e+01,3.058e+03
11.7,2.277e+03,9.347e+02,7.931e+01,3.291e+03
12.8,1.715e+03,7.288e+02,1.340e+02,2.578e+03
14.0,9.666e+02,1.495e+03,1.403e+02,2.602e+03
15.1,6.966e+02,2.037e+03,2.016e+02,2.936e+03
16.3,1.004e+03,4.841e+03,2.258e+02,6.071e+03
17.5,1.299e+03,7.066e+03,1.688e+02,8.535e+03
18.6,8.997e+02,1.075e+04,2.538e+02,1.191e+04
19.8,1.363e+03,6.641e+03,3.083e+02,8.312e+03
21.0,2.224e+03,8.476e+03,4.536e+02,1.115e+04
22.1,2.244e+03,6.264e+03,2.998e+02,8.808e+03
23.3,2.343e+03,3.242e+03,1.800e+02,5.765e+03
24.5,1.672e+03,1.635e+03,1.031e+02,3.410e+03
25.6,1.717e+03,2.292e+03,2.203e+02,4.229e+03
26.8,1.756e+03,3.880e+03,2.396e+02,5.876e+03
28.0,1.198e+03,8.234e+03,4.313e+02,9.863e+03
29.1,1.879e+03,3.832e+03,2.536e+02,5.965e+03
30.3,1.447e+03,2.828e+03,3.301e+02,4.604e+03
31.5,1.384e+03,8.894e+03,9.953e+02,1.127e+04
32.6,1.105e+03,6.585e+03,7.999e+02,8.490e+03
33.8,1.691e+03,4.023e+03,5.868e+02,6.301e+03
35.0,1.840e+03,2.449e+03,3.662e+02,4.655e+03
36.1,1.565e+03,2.703e+03,3.879e+02,4.656e+03
37.3,9.041e+02,3.784e+03,5.710e+02,5.259e+03
38.5,1.451e+03,3.509e+03,3.922e+02,5.352e+03
39.6,1.518e+03,4.648e+03,5.589e+02,6.725e+03
40.8,9.148e+02,3.720e+03,6.587e+02,5.294e+03
42.0,6.216e+02,2.181e+03,4.057e+02,3.209e+03
43.1,1.064e+03,4.767e+03,9.853e+02,6.816e+03
44.3,1.051e+03,6.202e+03,1.371e+03,8.624e+03
45.4,9.721e+02,3.292e+03,6.781e+02,4.942e+03
46.6,1.729e+03,3.667e+03,8.699e+02,6.266e+03
47.8,2.173e+03,3.548e+03,1.112e+03,6.832e+03
48.9,1.608e+03,8.566e+03,2.924e+03,1.310e+04
50.1,3.573e+03,1.376e+04,4.212e+03,2.154e+04
51.3,4.216e+03,1.525e+04,4.815e+03,2.428e+04
52.4,2.469e+03,1.277e+04,3.959e+03,1.919e+04
53.6,2.224e+03,5.417e+03,2.119e+03,9.761e+03
54.8,4.375e+03,8.668e+03,3.529e+03,1.657e+04
55.9,2.888e+03,8.480e+03,3.591e+03,1.496e+04
57.1,3.055e+03,7.811e+03,3.334e+03,1.420e+04
58.3,3.942e+03,6.938e+03,3.135e+03,1.402e+04
59.4,3.107e+03,8.582e+03,4.235e+03,1.592e+04
60.6,3.382e+03,8.133e+03,3.672e+03,1.519e+04
61.8,3.308e+03,5.756e+03,2.641e+03,1.170e+04
62.9,1.840e+03,2.192e+03,1.111e+03,5.142e+03
64.1,2.339e+03,9.562e+02,5.736e+02,3.868e+03
65.3,4.441e+03,9.756e+02,4.867e+02,5.903e+03
66.4,5.467e+03,7.744e+02,5.164e+02,6.758e+03
67.6,3.917e+03,5.195e+02,7.267e+02,5.163e+03
68.8,1.958e+03,4.937e+02,6.000e+02,3.051e+03
69.9,3.739e+02,6.488e+02,6.235e+02,1.646e+03
71.1,1.187e+03,3.263e+02,4.503e+02,1.963e+03
72.2,1.883e+03,1.432e+02,2.538e+02,2.280e+03
73.4,1.061e+03,2.108e+02,2.423e+02,1.514e+03
74.6,1.009e+03,4.374e+02,5.003e+02,1.947e+03
75.7,2.124e+03,2.308e+02,5.092e+02,2.864e+03
76.9,1.829e+03,3.046e+02,4.930e+02,2.626e+03
78.1,1.684e+03,4.816e+02,6.202e+02,2.785e+03
79.2,1.358e+03,2.997e+02,4.671e+02,2.125e+03
80.4,1.408e+03,5.562e+02,7.520e+02,2.716e+03
81.6,1.534e+03,6.076e+02,1.152e+03,3.294e+03
82.7,1.877e+03,5.516e+02,8.056e+02,3.234e+03
83.9,1.806e+03,5.911e+02,6.003e+02,2.998e+03
85.1,1.246e+03,8.080e+02,6.909e+02,2.745e+03
86.2,1.648e+03,8.362e+02,7.466e+02,3.230e+03
87.4,1.591e+03,6.131e+02,4.492e+02,2.654e+03
88.6,7.742e+02,4.261e+02,3.386e+02,1.539e+03
89.7,1.109e+03,4.354e+02,7.017e+02,2.246e+03
90.9,1.366e+03,3.314e+02,3.735e+02,2.071e+03
92.1,2.070e+03,2.597e+02,2.363e+02,2.566e+03
93.2,2.026e+03,3.366e+02,2.731e+02,2.635e+03
94.4,1.009e+03,4.842e+02,3.001e+02,1.793e+03
95.6,1.305e+03,3.569e+02,3.361e+02,1.998e+03
96.7,1.284e+03,2.521e+02,2.723e+02,1.808e+03
97.9,1.065e+03,2.986e+02,2.775e+02,1.641e+03
99.1,1.440e+03,4.394e+02,2.200e+02,2.099e+03
100.2,1.412e+03,3.296e+02,2.925e+02,2.034e+03
101.4,1.288e+03,2.546e+02,3.203e+02,1.863e+03
102.5,1.103e+03,1.731e+02,4.267e+02,1.703e+03
103.7,1.173e+03,1.883e+02,4.172e+02,1.778e+03
104.9,1.298e+03,3.540e+02,2.336e+02,1.885e+03
106.0,1.438e+03,5.435e+02,2.368e+02,2.218e+03
107.2,1.438e+03,3.469e+02,2.972e+02,2.082e+03
108.4,1.343e+03,2.333e+02,2.353e+02,1.812e+03
109.5,7.779e+02,2.853e+02,9.462e+01,1.158e+03
110.7,5.415e+02,2.990e+02,7.577e+01,9.162e+02
111.9,9.476e+02,2.123e+02,1.322e+02,1.292e+03
113.0,2.157e+03,2.260e+02,1.666e+02,2.550e+03
114.2,1.254e+03,1.251e+02,1.281e+02,1.507e+03
115.4,4.888e+02,2.686e+02,1.670e+02,9.245e+02
116.5,5.073e+02,3.791e+02,1.569e+02,1.043e+03
117.7,5.285e+02,2.883e+02,1.430e+02,9.597e+02
118.9,1.125e+03,2.381e+02,1.643e+02,1.528e+03
120.0,1.471e+03,1.922e+02,1.107e+02,1.774e+03
121.2,9.923e+02,1.083e+02,6.543e+01,1.166e+03
122.4,9.521e+02,1.499e+02,8.409e+01,1.186e+03
123.5,1.124e+03,1.240e+02,1.018e+02,1.349e+03
124.7,1.499e+03,1.277e+02,9.684e+01,1.723e+03
125.9,1.564e+03,9.338e+01,9.008e+01,1.747e+03
127.0,1.458e+03,2.635e+02,9.488e+01,1.816e+03
128.2,1.015e+03,2.842e+02,8.237e+01,1.381e+03
129.3,1.438e+03,2.261e+02,9.633e+01,1.760e+03
130.5,1.500e+03,3.258e+02,8.172e+01,1.907e+03
131.7,9.796e+02,1.358e+02,7.548e+01,1.191e+03
132.8,8.660e+02,1.592e+02,1.271e+02,1.152e+03
134.0,1.354e+03,1.682e+02,1.261e+02,1.648e+03
135.2,5.500e+02,1.735e+02,2.240e+02,9.475e+02
136.3,5.912e+02,9.978e+01,2.076e+02,8.985e+02
137.5,1.168e+03,1.933e+02,2.009e+02,1.563e+03
138.7,1.074e+03,2.024e+02,1.888e+02,1.465e+03
139.8,1.246e+03,5.787e+01,5.723e+01,1.361e+03
141.0,8.337e+02,1.329e+02,1.273e+02,1.094e+03
142.2,1.710e+03,2.527e+02,2.447e+02,2.208e+03
143.3,1.442e+03,1.524e+02,1.539e+02,1.748e+03
144.5,5.769e+02,1.025e+02,7.931e+01,7.587e+02
145.7,4.343e+02,1.240e+02,9.795e+01,6.562e+02
146.8,8.428e+02,1.985e+02,1.670e+02,1.208e+03
148.0,1.129e+03,2.074e+02,2.244e+02,1.561e+03
149.2,1.595e+03,1.596e+02,1.339e+02,1.889e+03
150.3,1.641e+03,2.348e+02,4.033e+02,2.279e+03
151.5,6.581e+02,1.306e+02,2.611e+02,1.050e+03
152.7,7.030e+02,1.009e+02,1.510e+02,9.550e+02
153.8,9.293e+02,1.495e+02,2.242e+02,1.303e+03
155.0,8.925e+02,1.844e+02,1.198e+02,1.197e+03
156.1,1.911e+03,1.177e+02,1.762e+02,2.205e+03
157.3,1.233e+03,8.745e+01,1.424e+02,1.463e+03
158.5,6.303e+02,1.197e+02,7.610e+01,8.261e+02
159.6,5.553e+02,1.682e+02,1.186e+02,8.422e+02
160.8,8.412e+02,1.610e+02,1.252e+02,1.127e+03
162.0,9.804e+02,9.992e+01,1.683e+02,1.249e+03
163.1,1.257e+03,8.374e+01,1.536e+02,1.495e+03
164.3,1.010e+03,1.043e+02,1.392e+02,1.253e+03
